Cruise Line,Ship,Cabin001,Cabin002,Cabin003,Cabin004,,,
Atlas,World Navigator,ADVENTURE OUTSIDE,HORIZON A2,VERANDA B2,VERANDA B1,,,
Atlas,World Traveller,ADVENTURE OUTSIDE,HORIZON A2,VERANDA B2,VERANDA B1,,,
Atlas,World Voyager,ADVENTURE OUTSIDE,HORIZON A2,VERANDA B2,VERANDA B1,,,
CORAL EXPEDITIONS,DISCOVERER,EXPLORER DECK,PROMENANDE DECK,NA,NA,,,
CORAL EXPEDITIONS,ADVENTURER,EXPLORER DECK,PROMENANDE DECK,NA,NA,,,
CORAL EXPEDITIONS,GEOGRAPHER,EXPLORER DECK,PROMENANDE DECK,NA,NA,,,
Crystal Cruises,Crystal Serenity,OCEAN VIEW,AQUAMARINE VERANDA,SAPPHIRE VERANDA,NA,,,
Crystal Cruises,Crystal Symphony,OCEAN VIEW,AQUAMARINE VERANDA,SAPPHIRE VERANDA,NA,,,
Explora Journeys,Explora I,OCEAN TERRACE,GRAND TERRACE SUITE,PENTHOUSE,GRAND PENTHOUSE,,,
Explora Journeys,Explora II,OCEAN TERRACE,GRAND TERRACE SUITE,PENTHOUSE,GRAND PENTHOUSE,,,
Heritage Expeditons,Heritage Adventurer,DECK 4 SUPERIOR (TW),DECK 5 SUPERIOR (TW),WORSLEY SUITE,MAIN DECK SOLO,,,
Oceania Cruises,Insignia,INSIDE,OCEAN VIEW,VERANDA,CONCIERGE VERANDA,,,
Oceania Cruises,Marina,INSIDE,OCEAN VIEW,VERANDA,CONCIERGE VERANDA,,,
Oceania Cruises,Nautica,INSIDE,OCEAN VIEW,VERANDA,CONCIERGE VERANDA,,,
Oceania Cruises,Regatta,INSIDE,OCEAN VIEW,VERANDA,CONCIERGE VERANDA,,,
Oceania Cruises,Riviera,INSIDE,OCEAN VIEW,VERANDA,CONCIERGE VERANDA,,,
Oceania Cruises,Sirena,INSIDE,OCEAN VIEW,VERANDA,CONCIERGE VERANDA,,,
Oceania Cruises,Vista,INSIDE,OCEAN VIEW,VERANDA,CONCIERGE VERANDA,,,
Quark,Ultramarine,EXPLORER SUITE,BALCONY SUITE,DELUXE BALCONY SUITE,TERRACE SUITE,,,
Quark,World Explorer,INFINITY SUITE,VERANDA SUITE,SUPERIOR SUITE,DELUXE SUITE,,,
QUARK,OCEAN EXPLORER,DLX VERANDA FORWARD,VERANDA STATEROOM,VERANDA SUITE,JUNIOR SUITE,,,
QUARK,WORLD VOYAGER,INFINITY SUITE,VERANDA SUITE,SUPERIOR SUITE,OWNERS SUITE,,,
Regent Seven Seas,Seven Seas Navigator,WINDOW SUITE,DELUXE SUITE,CONCIERGE SUITE,PENTHOUSE SUITE,,,
Regent Seven Seas,Seven Seas Mariner,DELUXE SUITE,CONCIERGE SUITE,PENTHOUSE SUITE,HORIZON SUITE,,,
Regent Seven Seas,Seven Seas Voyager,DELUXE SUITE,CONCIERGE SUITE,PENTHOUSE SUITE,SEVEN SEAS SUITE,,,
Regent Seven Seas,Seven Seas Explorer,VERANDA,DELUXE VERANDA,DELUXE/SUPERIOR SUITE,CONCIERGE SUITE,,,
Regent Seven Seas,Seven Seas Grandeur,VERANDA,DELUXE VERANDA,DELUXE/ SUPERIOR SUITE,CONCIERGE SUITE,,,
Regent Seven Seas,Seven Seas Splendor,VERANDA,DELUXE VERANDA,DELUXE/SUPERIOR SUITE,CONCIERGE SUITE,,,
Seabourn,Seabourn Pursuit,NA,BALCONY GUARANTEE,NA,NA,,,
Seabourn,Seabourn Encore,NA,BALCONY GUARANTEE,NA,NA,,,
Seabourn,Seabourn Venture,NA,BALCONY GUARANTEE,NA,NA,,,
Seabourn,Seabourn Ovation,NA,BALCONY GUARANTEE,NA,NA,,,
Seabourn,Seabourn Odyssey,OUTSIDE GUARANTEE,BALCONY GUARANTEE,NA,NA,,,
Seabourn,Seabourn Quest,OUTSIDE GUARANTEE,BALCONY GUARANTEE,NA,NA,,,
Seabourn,Seabourn Sojourn,OUTSIDE GUARANTEE,BALCONY GUARANTEE,NA,NA,,,
SeaDream Yacht Club,SeaDream I,VISTA,PANORAMA,CLASSIC,SUPERIOR,,,
Silversea Cruises,Silver Nova,CLASSIC VERANDA,SUPERIOR VERANDA,DELUXE VERANDA,PREMIUM VERANDA,,,
Silversea Cruises,Silver Origin,CLASSIC VERANDA,SUPERIOR VERANDA,DELUXE VERANDA,MEDALLION,,,
Silversea Cruises,Silver Cloud,VISTA,VERANDA,MIDSHIP VERANDA,MEDALLION,,,
Silversea Cruises,Silver Shadow,VISTA,CLASSIC VERANDA,SUPERIOR VERANDA,DELUXE VERANDA,,,
Silversea Cruises,Silver Whisper,VISTA,CLASSIC VERANDA,SUPERIOR VERANDA,DELUXE VERANDA,,,
Silversea Cruises,Silver Wind,VISTA,CLASSIC VERANDA,DELUXE VERANDA,MEDALLION,,,
Silversea Cruises,Silver Dawn,VISTA,PANORAMA,CLASSIC VERANDA,SUPERIOR VERANDA,,,
Silversea Cruises,Silver Moon,VISTA,PANORAMA,CLASSIC VERANDA,SUPERIOR VERANDA,,,
Silversea Cruises,Silver Muse,VISTA,PANORAMA,CLASSIC VERANDA,SUPERIOR VERANDA,,,
Silversea Cruises,Silver Spirit,VISTA,PANORAMA,CLASSIC VERANDA,SUPERIOR VERANDA,,,
Silversea Cruises,Silver Endeavour,CLASSIC VERANDA,SUPERIOR VERANDA,DELUXE VERANDA,PREMIUM VERANDA,,,
Silversea Cruises,Silver Ray,CLASSIC VERANDA,SUPERIOR VERANDA,DELUXE VERANDA,PREMIUM VERANDA,,,
Windstar,Star Breeze,OCEANVIEW SUITE (S),OCEANVIEW SUITE (S1),STAR OCEANVIEW SUITE (SS1),STAR BALCONY SUITE (SBS1),,,
Windstar,Star Legend,OCEANVIEW SUITE (S),OCEANVIEW SUITE (S1),STAR OCEANVIEW SUITE (SS1),STAR BALCONY SUITE (SBS1),,,
Windstar,Star Pride,OCEANVIEW SUITE (S),OCEANVIEW SUITE (S1),STAR OCEANVIEW SUITE (SS1),STAR BALCONY SUITE (SBS1),,,
Windstar,Wind Spirit,OCEANVIEW (B),DELUXE SUITE (BX),DELUXE SUITE (A),OWNERS SUITE (OS),,,
Windstar,Wind Star,OCEANVIEW (B),DELUXE SUITE (BX),DELUXE SUITE (A),OWNERS SUITE (OS),,,
Windstar,Wind Surf,OCEANVIEW (B),DELUXE SUITE (BX),DELUXE SUITE (AX),SUITE (TA),,,
AmaWaterways,AmaBella,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaCello,"WINDOW  (D,E)","FRENCH BALCONY (C, B, A)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaCerto,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaDante,"WINDOW  (D,E)","FRENCH BALCONY (C, B, A)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaDara,CATEGORY C,CATEGORY B,CATEGORY A,,,,
AmaWaterways,AmaDolce,"WINDOW  (D,E)","FRENCH BALCONY (C, B, A)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaKristina,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaLea,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaLucia,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaLyra,"WINDOW  (D,E)","FRENCH BALCONY (C, B, A)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaMagdalena ,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaMagna,"WINDOW  (D,E)","FRENCH BALCONY (AB, AA)","TWIN BALCONY (SB, AA)",,,,
AmaWaterways,AmaMelodia ,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaMora,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaPrima,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaReina,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaSerena,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaSiena,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaSonata,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaStella,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaVenita,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaVerde,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,AmaViola,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
AmaWaterways,Zambezi Queen,"WINDOW  (D,E)","FRENCH BALCONY (CB, CA, C)","TWIN BALCONY (BB, BA, AB, AA)",,,,
